iter	Passed	Remaining
0	1	118
1	1	83
2	2	67
3	2	55
4	2	48
5	2	44
6	3	42
7	3	40
8	3	38
9	4	37
10	4	36
11	4	35
12	5	34
13	5	34
14	5	33
15	6	32
16	6	32
17	6	31
18	7	31
19	7	30
20	7	29
21	8	29
22	8	29
23	9	29
24	9	29
25	10	29
26	10	28
27	11	28
28	11	28
29	11	27
30	12	27
31	12	27
32	13	26
33	13	26
34	14	26
35	14	25
36	15	25
37	15	25
38	16	25
39	16	24
40	17	24
41	17	23
42	17	23
43	18	22
44	18	22
45	18	22
46	19	22
47	20	22
48	20	21
49	21	21
50	21	20
51	21	20
52	22	19
53	22	19
54	23	18
55	23	18
56	24	18
57	25	18
58	25	17
59	25	17
60	26	16
61	26	16
62	27	15
63	27	15
64	27	15
65	28	14
66	28	14
67	29	13
68	29	13
69	29	12
70	30	12
71	30	11
72	31	11
73	31	11
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	34	7
82	35	7
83	35	6
84	36	6
85	36	5
86	36	5
87	37	5
88	37	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	40	1
96	41	1
97	41	0
98	42	0
99	42	0
